municipio,abertura,fechamento,atividade,porte,natureza juridica
Jatobá do Piauí,2009-12-04,2015-11-26,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,MEI – Microempreendedor Individual
Betânia do Piauí,2022-11-22,2020-05-17,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,EI – Empresário Individual
Assunção do Piauí,2019-02-16,2006-06-03,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Wall Ferraz.,2022-05-08,,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
Colônia do Gurguéia,2005-12-09,2008-02-21,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Nova Santa Rita,2023-12-29,2001-10-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
Pedro II,2019-01-22,2007-03-13,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,EI – Empresário Individual
Caridade do Piauí,2002-12-18,2012-08-05,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,EI – Empresário Individual
Nova Santa Rita,2004-03-23,2016-09-18,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Elesbão Veloso,2015-01-07,2015-01-28,ELETRICIDADE E GÁS,me,EI – Empresário Individual
Brejo do Piauí,2023-10-31,2019-09-10,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
São Félix do Piauí,2023-03-27,2003-02-09,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Eireli
Coivaras,2009-01-22,2020-06-16,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Simples Limitada
Belém do Piauí,2022-02-23,2017-03-09,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,EI – Empresário Individual
Madeiro,2015-02-06,2013-06-21,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,EI – Empresário Individual
Lagoa de São Francisco,2019-06-18,2020-06-13,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Wall Ferraz.,2005-11-12,2024-02-25,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,EI – Empresário Individual
Luzilândia,2019-08-10,2024-01-27,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
Elesbão Veloso,2010-01-01,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Eireli
Várzea Branca,2022-10-19,2006-10-25,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
Bocaina,2016-02-23,2020-07-30,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Santo Antônio de Lisboa,2011-05-16,2017-10-14,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,MEI – Microempreendedor Individual
Cabeceiras do Piauí,2008-02-18,2021-01-24,SERVIÇOS DOMÉSTICOS,pequena,MEI – Microempreendedor Individual
Barro Duro,2024-02-19,2024-04-07,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
Joaquim Pires,2012-09-25,2013-01-21,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Eireli
Belém do Piauí,2000-06-30,2006-06-20,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Floriano,2020-10-28,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Parnaíba,2011-09-13,2020-04-04,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,MEI – Microempreendedor Individual
Nossa Senhora de Nazaré,2016-03-22,2014-10-14,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Paes Landim,2003-11-30,2007-01-20,COMÉRCIO,pequena,Sociedade Simples Limitada
Santo Antônio dos Milagres,2022-11-14,2001-03-31,INDÚSTRIAS EXTRATIVAS,pequena,EI – Empresário Individual
Betânia do Piauí,2007-03-03,,ELETRICIDADE E GÁS,mei,EI – Empresário Individual
Morro Cabeça no Tempo,2003-01-18,,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Currais,2012-06-27,2022-04-21,COMÉRCIO,media/grande,Sociedade Simples Limitada
São Gonçalo do Gurguéia,2002-10-17,,EDUCAÇÃO,mei,Sociedade Simples Limitada
Caxingó,2007-05-28,2009-06-28,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Eireli
Lagoa do Piauí,2014-03-11,2012-06-29,ATIVIDADES IMOBILIÁRIAS,me,MEI – Microempreendedor Individual
Campinas do Piauí,2014-03-30,2019-01-14,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,EI – Empresário Individual
Monsenhor Hipólito,2002-08-28,,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Simples Limitada
Geminiano,2014-04-21,2016-03-27,COMÉRCIO,mei,EI – Empresário Individual
São Francisco do Piauí,2023-10-13,2015-08-26,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,MEI – Microempreendedor Individual
Campo Grande do Piauí,2018-09-22,2012-07-21,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Dom Expedito Lopes,2008-06-29,2007-12-23,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,MEI – Microempreendedor Individual
Madeiro,2019-01-23,2008-05-06,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Morro Cabeça no Tempo,2022-01-10,2022-06-06,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Anônima
Cocal dos Alves,2014-11-05,2019-09-28,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Sigefredo Pacheco,2011-07-07,2014-10-12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Eireli
Socorro do Piauí,2007-04-14,2013-12-02,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Anônima
Várzea Branca,2022-04-02,2022-05-03,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Anônima
Morro Cabeça no Tempo,2016-09-13,2003-07-08,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Santa Rosa do Piauí,2002-09-11,2018-01-04,EDUCAÇÃO,me,Sociedade Anônima
Oeiras,2004-02-14,2020-05-03,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Anônima
Buriti dos Montes,2002-07-06,2002-06-27,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Coronel José Dias,2023-09-15,2020-02-25,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Cocal dos Alves,2019-10-05,,INDÚSTRIAS EXTRATIVAS,media/grande,EI – Empresário Individual
Joaquim Pires,2011-04-06,2009-03-04,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Bom Princípio do Piauí,2011-02-16,,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Boqueirão do Piauí,2019-03-12,2002-05-12,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,MEI – Microempreendedor Individual
Currais,2009-03-12,2023-06-03,EDUCAÇÃO,mei,EI – Empresário Individual
Milton Brandão,2022-02-22,2006-07-11,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,MEI – Microempreendedor Individual
Amarante,2008-07-23,2015-03-09,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Bom Jesus,2008-02-21,2017-02-01,ATIVIDADES IMOBILIÁRIAS,me,EI – Empresário Individual
Joaquim Pires,2004-06-02,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,EI – Empresário Individual
São João da Fronteira,2008-07-13,2010-02-19,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Pau d'Arco do Piauí,2003-11-14,2004-10-15,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Pau d'Arco do Piauí,2019-09-27,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Ribeiro Gonçalves,2022-04-29,2008-06-18,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Boqueirão do Piauí,2022-01-19,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Simples Limitada
Isaías Coelho,2022-12-19,2001-01-14,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Anônima
Massapê do Piauí,2017-11-09,2008-02-19,INDÚSTRIAS DE TRANSFORMAÇÃO,me,EI – Empresário Individual
Boa Hora,2020-10-11,2008-06-16,INFORMAÇÃO E COMUNICAÇÃO,me,Eireli
Barro Duro,2020-06-21,2006-08-31,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
São Julião,2011-11-19,2013-02-23,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,EI – Empresário Individual
Novo Oriente do Piauí,2003-11-27,2007-07-09,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Geminiano,2016-10-17,2015-07-08,ATIVIDADES IMOBILIÁRIAS,me,MEI – Microempreendedor Individual
Rio Grande do Piauí,2016-07-16,2018-10-18,EDUCAÇÃO,me,MEI – Microempreendedor Individual
Marcos Parente,2003-07-10,2005-01-16,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Capitão Gervásio Oliveira,2022-10-05,2013-09-13,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Anônima
Cabeceiras do Piauí,2005-09-12,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Jatobá do Piauí,2003-08-05,2010-01-01,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Nossa Senhora dos Remédios,2018-01-30,2003-12-18,CONSTRUÇÃO,pequena,Eireli
Santa Rosa do Piauí,2022-06-07,2008-10-08,SERVIÇOS DOMÉSTICOS,me,Sociedade Anônima
João Costa,2006-12-21,2020-01-09,ELETRICIDADE E GÁS,mei,Sociedade Anônima
Barra d'Alcântara,2013-10-08,,INDÚSTRIAS EXTRATIVAS,mei,Sociedade Simples Limitada
São Gonçalo do Gurguéia,2010-03-08,2015-07-15,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Anônima
Campo Alegre do Fidalgo,2002-05-28,2004-01-07,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Simples Limitada
João Costa,2022-09-27,2015-06-13,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Pajeú do Piauí,2003-07-13,2006-01-07,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,MEI – Microempreendedor Individual
Wall Ferraz.,2001-09-04,,SERVIÇOS DOMÉSTICOS,me,EI – Empresário Individual
Simões,2018-11-30,2004-11-24,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
Campo Largo do Piauí,2022-02-13,2007-06-05,ALOJAMENTO E ALIMENTAÇÃO,mei,EI – Empresário Individual
Cocal de Telha,2022-08-12,,EDUCAÇÃO,me,Sociedade Simples Limitada
Castelo do Piauí,2024-04-02,2008-02-01,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Regeneração,2021-11-03,2016-06-01,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Eireli
Riacho Frio,2004-10-21,2017-04-08,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Anônima
Porto,2010-11-04,,COMÉRCIO,media/grande,MEI – Microempreendedor Individual
Hugo Napoleão,2008-07-30,2005-12-02,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Cristalândia do Piauí,2002-12-12,2011-11-03,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Simples Limitada
Acauã,2015-08-07,2010-11-22,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
Nova Santa Rita,2023-10-21,,COMÉRCIO,me,Sociedade Simples Limitada
São Pedro do Piauí,2003-08-19,,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Ilha Grande,2016-12-27,2001-07-28,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Eireli
Sussuapara,2008-03-09,2012-09-28,CONSTRUÇÃO,mei,Sociedade Simples Limitada
Porto Alegre do Piauí,2012-12-06,2020-11-09,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,MEI – Microempreendedor Individual
Bom Jesus,2014-03-05,2010-11-13,EDUCAÇÃO,mei,Sociedade Simples Limitada
Colônia do Gurguéia,2020-11-25,2004-11-18,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Luís Correia,2008-11-18,,INDÚSTRIAS EXTRATIVAS,me,EI – Empresário Individual
Palmeira do Piauí,2008-01-11,2006-04-05,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Canavieira,2020-01-19,2020-07-25,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,MEI – Microempreendedor Individual
Caraúbas do Piauí,2009-12-14,,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,EI – Empresário Individual
Campo Maior,2013-10-27,2007-02-19,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Belém do Piauí,2024-03-15,2014-03-09,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Caraúbas do Piauí,2022-08-18,2009-07-29,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Boqueirão do Piauí,2005-03-25,2012-12-31,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Piracuruca,2015-04-04,2018-04-09,INDÚSTRIAS EXTRATIVAS,me,MEI – Microempreendedor Individual
Juazeiro do Piauí,2020-01-21,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Marcolândia,2019-03-20,2002-05-24,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Demerval Lobão,2022-01-28,2003-12-19,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Miguel Leão,2017-09-23,2008-05-25,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Anônima
Monte Alegre do Piauí,2019-04-10,2014-11-09,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Paes Landim,2013-05-22,2024-06-23,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Currais,2008-10-16,,CONSTRUÇÃO,me,Eireli
Uruçuí,2021-01-10,2002-01-10,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Anônima
Baixa Grande do Ribeiro,2003-10-09,,COMÉRCIO,me,Sociedade Anônima
Gilbués,2011-11-05,2014-02-22,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Agricolândia,2010-10-11,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Anônima
Marcos Parente,2022-04-03,,EDUCAÇÃO,me,MEI – Microempreendedor Individual
União,2006-08-04,2018-05-05,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Anônima
Massapê do Piauí,2021-01-17,2021-08-12,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Buriti dos Montes,2013-10-31,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Anônima
Tamboril do Piauí,2008-12-25,,ATIVIDADES IMOBILIÁRIAS,pequena,Eireli
Nova Santa Rita,2023-08-06,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Dom Expedito Lopes,2004-06-24,2011-09-29,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Anônima
Avelino Lopes,2017-09-05,2010-11-24,CONSTRUÇÃO,pequena,Sociedade Anônima
Floresta do Piauí,2006-11-07,,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Simples Limitada
Pajeú do Piauí,2003-06-10,2020-04-22,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Anônima
São Miguel do Fidalgo,2005-01-25,2008-05-22,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Canavieira,2013-05-06,,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
São João da Serra,2011-10-23,2015-08-15,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Nazaré do Piauí,2005-12-15,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Teresina,2004-12-15,2019-07-14,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Simples Limitada
Santa Luz,2010-08-14,2008-05-07,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Caldeirão Grande do Piauí,2014-03-18,2021-03-05,EDUCAÇÃO,me,MEI – Microempreendedor Individual
Lagoinha do Piauí,2016-08-01,,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Curralinhos,2020-11-12,2002-11-06,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Simples Limitada
Campo Largo do Piauí,2000-11-10,,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Campinas do Piauí,2004-09-29,2006-10-30,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Anônima
Floresta do Piauí,2005-12-25,2000-07-21,CONSTRUÇÃO,me,Sociedade Simples Limitada
Lagoa do Barro do Piauí,2023-03-25,2013-06-13,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Anônima
Santo Antônio dos Milagres,2022-01-24,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Eireli
Uruçuí,2001-09-08,2012-09-18,SERVIÇOS DOMÉSTICOS,mei,Sociedade Anônima
Santa Cruz dos Milagres,2004-11-24,2011-12-22,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Eireli
São João da Varjota,2006-11-04,2017-02-24,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,EI – Empresário Individual
Geminiano,2003-01-31,2020-09-01,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Eireli
Santo Antônio de Lisboa,2008-06-20,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,EI – Empresário Individual
Miguel Leão,2019-07-02,2023-08-01,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
São Pedro do Piauí,2021-11-22,2021-03-06,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,MEI – Microempreendedor Individual
Monsenhor Hipólito,2010-11-17,2009-12-25,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Bocaina,2015-10-11,2007-12-17,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Sociedade Simples Limitada
Picos,2023-09-14,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Avelino Lopes,2001-02-04,2021-12-02,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Anônima
Milton Brandão,2016-06-29,2006-08-24,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Cristalândia do Piauí,2019-07-13,2020-06-05,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Eireli
Ribeiro Gonçalves,2007-01-11,2006-03-08,COMÉRCIO,pequena,Sociedade Simples Limitada
Sigefredo Pacheco,2023-07-26,2007-05-16,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Simples Limitada
Alagoinha do Piauí,2015-06-21,2008-08-10,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Pedro II,2012-04-27,2005-07-09,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Campo Alegre do Fidalgo,2014-01-10,2020-07-29,EDUCAÇÃO,mei,Sociedade Simples Limitada
Monsenhor Hipólito,2022-08-01,2009-06-18,INDÚSTRIAS EXTRATIVAS,mei,EI – Empresário Individual
Prata do Piauí,2007-05-28,2016-08-26,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Anônima
Sussuapara,2013-09-02,2001-04-04,EDUCAÇÃO,pequena,MEI – Microempreendedor Individual
Simões,2020-06-05,2018-08-24,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Eireli
Agricolândia,2022-06-13,2001-06-09,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,MEI – Microempreendedor Individual
Cocal dos Alves,2015-09-17,2023-11-09,CONSTRUÇÃO,mei,MEI – Microempreendedor Individual
Angical do Piauí,2018-03-03,2016-04-25,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Gilbués,2014-02-07,2020-04-15,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,MEI – Microempreendedor Individual
Padre Marcos,2000-09-24,2019-10-27,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Redenção do Gurguéia,2018-05-18,2016-11-24,ATIVIDADES IMOBILIÁRIAS,pequena,EI – Empresário Individual
Marcos Parente,2023-05-29,2016-10-27,EDUCAÇÃO,me,Sociedade Anônima
Luzilândia,2013-04-23,2015-08-01,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Simples Limitada
Tanque do Piauí,2007-11-21,2013-11-17,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Simples Limitada
Luís Correia,2011-01-03,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,MEI – Microempreendedor Individual
Caldeirão Grande do Piauí,2012-01-29,,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Santo Inácio do Piauí,2021-05-22,2004-05-03,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Capitão de Campos,2017-06-01,2017-06-14,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Anônima
Regeneração,2021-01-16,2008-09-05,ATIVIDADES IMOBILIÁRIAS,mei,EI – Empresário Individual
Geminiano,2008-02-19,2001-08-02,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,MEI – Microempreendedor Individual
Caldeirão Grande do Piauí,2004-04-28,2024-01-04,INFORMAÇÃO E COMUNICAÇÃO,me,MEI – Microempreendedor Individual
Paquetá,2021-10-31,2004-05-09,CONSTRUÇÃO,pequena,Sociedade Anônima
São Gonçalo do Gurguéia,2015-08-11,2018-06-09,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,EI – Empresário Individual
Tanque do Piauí,2024-03-26,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Riacho Frio,2019-09-13,2006-12-21,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Buriti dos Montes,2019-08-22,2013-11-07,ATIVIDADES IMOBILIÁRIAS,mei,MEI – Microempreendedor Individual
Fartura do Piauí,2015-01-20,2003-12-22,COMÉRCIO,me,Sociedade Simples Limitada
Nova Santa Rita,2017-01-17,2014-12-11,ELETRICIDADE E GÁS,me,EI – Empresário Individual
Bertolínia,2006-02-05,2022-08-08,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Simples Limitada
Currais,2009-12-23,2023-02-02,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Anônima
Alagoinha do Piauí,2006-03-19,2013-08-07,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Dom Expedito Lopes,2005-02-06,2015-05-29,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Barro Duro,2015-10-11,2022-08-10,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Murici dos Portelas,2010-06-02,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,EI – Empresário Individual
Luís Correia,2020-10-05,2001-06-26,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Eireli
Santa Filomena,2021-09-07,2022-09-20,CONSTRUÇÃO,pequena,Eireli
Nossa Senhora de Nazaré,2004-12-19,2022-06-29,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Eireli
Curimatá,2003-07-12,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,MEI – Microempreendedor Individual
Cristino Castro,2005-04-22,2001-04-24,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
Betânia do Piauí,2008-09-09,2022-01-12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Anônima
Rio Grande do Piauí,2007-03-10,2012-08-12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Riacho Frio,2019-01-08,2012-10-19,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,MEI – Microempreendedor Individual
Júlio Borges,2008-11-12,2024-06-22,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,MEI – Microempreendedor Individual
Santo Inácio do Piauí,2015-07-08,2008-09-24,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Beneditinos,2009-07-06,2012-01-13,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,EI – Empresário Individual
Cocal dos Alves,2009-02-12,2003-01-10,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,EI – Empresário Individual
Morro do Chapéu do Piauí,2011-07-01,2018-05-01,SERVIÇOS DOMÉSTICOS,media/grande,EI – Empresário Individual
